Evasão – 1º semestre de 2008,,
"Relação curso, nome de estudantes, forma de evasão e email",,
NOME_CURSO,Total de estudantes,Ocorrência/forma de evasão
CURSO DE CIENCIAS BIOLOGICAS - BACHARELADO,1,Abandono=1
CURSO DE CIENCIAS BIOLOGICAS - NUCLEO COMUM,11,Abandono=11
CURSO DE CIENCIA DA COMPUTACAO,13,Abandono=11
,,Classificado e não matriculado=1
,,Transferido=1
CURSO DE ENGENHARIA CIVIL,10,Abandono=4
,,Cancelamento=1
,,Classificado e não matriculado=1
,,Transferido=4
CURSO DE ENGENHARIA ELETRICA,6,Abandono=4
,,Classificado e não matriculado=2
CURSO DE ENGENHARIA DE ALIMENTOS,6,Abandono=3
,,Cancelamento=1
,,Transferido=2
CURSO DE ENGENHARIA DE COMPUTACAO,8,Abandono=8
CURSO DE ENGENHARIA DE PRODUCAO,8,Abandono=8
CURSO DE ENGENHARIA QUIMICA,1,Abandono=1
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,5,Abandono=5
CURSO DE LICENCIATURA EM FISICA,8,Abandono=7
,,Cancelamento=1
CURSO DE LICENCIATURA EM MATEMATICA,5,Abandono=5
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,7,Abandono=4
,,Cancelamento=1
,,Transferido=2
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,12,Abandono=11
,,Transferido=1
CURSO DE LICENCIATURA EM QUIMICA,7,Abandono=7
CURSO DE GEOFISICA,4,Abandono=3
,,Classificado e não matriculado=1
CURSO DE ZOOTECNIA,4,Abandono=2
,,Classificado e não matriculado=2
CURSO DE AGRONOMIA,3,Abandono=3
CURSO DE JORNALISMO,5,Abandono=3
,,Classificado e não matriculado=2
CURSO DE PUBLICIDADE E PROPAGANDA,10,Abandono=6
,,Classificado e não matriculado=2
,,Transferido=2
CURSO DE SERVICO SOCIAL,10,Abandono=9
,,Classificado e não matriculado=1
CURSO DE ENGENHARIA FLORESTAL,4,Abandono=4
CURSO DE GESTAO AMBIENTAL,8,Abandono=7
,,Cancelamento=1
CURSO DE ADMINISTRACAO - COMERCIO EXTERIOR - DIURNO,1,Transferido=1
CURSO DE ADMINISTRACAO - NOTURNO,1,Classificado e não matriculado=1
CURSO DE ENFERMAGEM,7,Abandono=6
,,Classificado e não matriculado=1
CURSO DE FARMACIA,14,Abandono=6
,,Transferido=8
CURSO DE FISIOTERAPIA,8,Abandono=2
,,Classificado e não matriculado=2
,,Transferido=4
TOTAL,187,Abandono
,,Cancelamento
,,Classificado e não matriculado
,,Transferido
