Evasão – 2º semestre de 2010,,
"Relação curso, nome de estudantes, forma de evasão e email",,
NOME_CURSO,Total de estudantes,Ocorrência/forma de evasão
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA (COD.111.UNI),3,abandono=3
CURSO DE CIENCIA DA COMPUTACAO,19,abandono=17
,,cancelamento=1
,,transferido=1
CURSO DE ENGENHARIA AGRÍCOLA,1,cancelamento=1
CURSO DE ENGENHARIA CIVIL,12,abandono=11
,,falecimento=1
CURSO DE ENGENHARIA ELETRICA,11,abandono=10
,,transferido=1
CURSO DE ENGENHARIA MECANICA,5,abandono=5
CURSO DE ENGENHARIA DE SOFTWARE,8,abandono=8
CURSO DE ENGENHARIA DE ALIMENTOS,16,abandono=14
,,transferência Interna=1
CURSO DE ENGENHARIA DE COMPUTACAO,18,abandono=14
,,cancelamento=2
,,classificado e não matriculado=2
CURSO DE ENGENHARIA DE PRODUCAO,22,abandono=20
,,cancelamento=1
,,transferência=1
CURSO DE ENGENHARIA QUIMICA,10,abandono=8
,,cancelamento=1
,,classificado e não matriculado=1
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,11,abandono=8
,,cancelamento=2
,,transferência Interna=2
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,32,abandono=32
CURSO DE LICENCIATURA EM FISICA,8,abandono=6
,,cancelamento=1
,,transferência=1
CURSO DE LICENCIATURA EM MATEMATICA,29,abandono=27
,,cancelamento=1
,,classificado e não matriculado=1
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,8,abandono=8
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,8,abandono=8
CURSO DE LICENCIATURA EM QUIMICA,5,abandono=4
,,cancelamento=1
CURSO DE LICENCIATURA EM CIENCIAS EXATAS,6,abandono=5
,,cancelamento=1
CURSO DE GEOFISICA,7,abandono=6
,,cancelamento=1
CURSO SUPERIOR DE TECNOLOGIA EM MINERACAO,1,abandono=1
CURSO SUPERIOR DE TECNOLOGIA EM AGRONEGÓCIOS,14,abandono=14
CURSO DE ZOOTECNIA,12,abandono=10
,,cancelamento=2
REGIME ESPECIAL DE GRADUACAO,24,abandono=24
CURSO DE AGRONOMIA,8,abandono=8
CURSO DE NUTRIÇÃO,3,abandono=3
CURSO EM CIÊNCIA E TECNOLOGIA AGROALIMENTAR,11,abandono=11
CURSO DE LICENCIATURA EM HISTÓRIA,10,abandono=7
,,cancelamento=2
,,transferência=1
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,15,abandono=15
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,22,abandono=21
,,transferido=1
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,2,abandono=2
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,9,abandono=9
CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DE TURISMO,2,abandono=2
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,11,abandono=9
CURSO DE JORNALISMO,7,abandono=7
CURSO DE PUBLICIDADE E PROPAGANDA,11,abandono=10
,,cancelamento=1
,,transferência=1
CURSO DE SERVICO SOCIAL,5,abandono=5
CURSO DE CIENCIAS BIOLOGICAS - BACHARELADO,9,abandono=9
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA,5,abandono=5
CURSO DE BIOTECNOLOGIA,5,abandono=3
,,cancelamento=1
,,transferência=1
CURSO DE ENGENHARIA FLORESTAL,13,abandono=13
CURSO DE GESTAO AMBIENTAL,12,abandono=12
CURSO DE ADMINISTRACAO - DIURNO,10,abandono=7
,,cancelamento=2
,,desligamento=1
CURSO DE ADMINISTRACAO - NOTURNO,19,abandono=19
CURSO DE CIÊNCIAS ECONÔMICAS,1,abandono=1
CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA,8,abandono=7
,,falecimento=1
CURSO DE RELACOES INTERNACIONAIS,14,abandono=14
CURSO DE EDUCACAO FISICA,1,abandono=1
CURSO DE ENFERMAGEM,8,abandono=5
,,cancelamento=2
,,transferido=1
CURSO DE FARMACIA,19,abandono=11
,,transferido=8
CURSO DE FISIOTERAPIA,15,abandono=11
,,cancelamento=3
,,transferido=1
CURSO DE CIÊNCIAS DA NATUREZA - LICENCIATURA,11,abandono=11
CURSO DE LICENCIATURA EM EDUCAÇÃO FISICA,16,abandono=16
CURSO SUPERIOR DE TECNOLOGIA EM AQUICULTURA,10,abandono=10
CURSO DE MEDICINA VETERINARIA,7,abandono=6
,,transferido=1
TOTAL,589,Abandono
,,Cancelamento
,,Classificado e não matriculado
,,Desligamento
,,Falecimento
,,Transferência
,,Transferido
