NOME_CURSO,Total de estudantes,Abandono,Cancelamento,Transferido,Classificado e não matriculado,Falecimento
CURSO DE CIENCIA DA COMPUTACAO,15,10,3,2,,
CURSO DE ENGENHARIA AGRÍCOLA,1,,1,,,
CURSO DE ENGENHARIA CIVIL,8,5,1,2,,
CURSO DE ENGENHARIA ELETRICA,14,9,4,1,,
CURSO DE ENGENHARIA MECANICA,7,4,3,,,
CURSO DE ENGENHARIA DE SOFTWARE,3,,3,,,
CURSO DE ENGENHARIA DE ALIMENTOS,10,5,4,1,,
CURSO DE ENGENHARIA DE COMPUTACAO,18,15,3,,,
CURSO DE ENGENHARIA DE PRODUCAO,8,2,4,1,1,
CURSO DE ENGENHARIA QUIMICA,15,2,9,1,3,
CURSO DE ENGENHARIA DE ENERGIAS RENOVAVEIS E AMBIENTE,19,9,7,1,2,
LICENCIATURA EM LETRAS-LÍNGUA PORTUGUESA E RESPECTIVAS LITERATURAS,16,10,4,1,,1
CURSO DE LICENCIATURA EM FISICA,5,1,4,,,
CURSO DE LICENCIATURA EM MATEMATICA,17,15,1,1,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E ESPANHOL,3,3,,,,
CURSO DE LICENCIATURA EM LETRAS - PORTUGUES E INGLES,8,7,,1,,
CURSO DE LICENCIATURA EM QUIMICA,6,1,,,,
CURSO DE LICENCIATURA EM CIENCIAS EXATAS,3,,3,,,
CURSO SUPERIOR DE TECNOLOGIA EM MINERACAO,9,4,5,,,
CURSO SUPERIOR DE TECNOLOGIA EM AGRONEGÓCIOS,14,12,2,,,
CURSO DE ZOOTECNIA,20,16,4,,,
REGIME ESPECIAL DE GRADUACAO,30,29,1,,,
CURSO DE AGRONOMIA,25,23,2,,,
CURSO DE NUTRIÇÃO,6,6,,,,
CURSO EM CIÊNCIA E TECNOLOGIA AGROALIMENTAR,11,11,,,,
CURSO DE LICENCIATURA EM HISTÓRIA,4,,4,,,
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - DIURNO,8,3,5,,,
CURSO DE LICENCIATURA EM LETRAS - ESPANHOL - NOTURNO,22,9,9,4,,
CURSO DE LICENCIATURA EM PEDAGOGIA - DIURNO,2,1,,1,,
CURSO DE LICENCIATURA EM PEDAGOGIA - NOTURNO,8,5,3,,,
CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DE TURISMO,6,,6,,,
CURSO DE CIENCIAS SOCIAIS - CIENCIA POLITICA,9,8,1,,,
CURSO DE JORNALISMO,13,9,3,1,,
CURSO DE PUBLICIDADE E PROPAGANDA,16,12,2,1,,
CURSO DE RELAÇÕES PÚBLICAS,2,,2,,,
CURSO DE SERVICO SOCIAL,11,7,3,1,,
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA(COD.111.UNI),1,1,,,,
CURSO DE CIENCIAS BIOLOGICAS - BACHARELADO,5,4,1,,,
CURSO DE CIENCIAS BIOLOGICAS - LICENCIATURA PLENA,2,1,1,,,
CURSO DE BIOTECNOLOGIA,8,3,5,,,
CURSO DE ENGENHARIA FLORESTAL,28,6,10,12,,
CURSO DE GESTAO AMBIENTAL,4,4,,,,
CURSO DE ADMINISTRACAO - DIURNO,9,7,2,,,
CURSO DE ADMINISTRACAO - NOTURNO,23,15,8,,,
CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA,3,2,1,,,
CURSO DE RELACOES INTERNACIONAIS,14,6,4,4,,
CURSO DE EDUCACAO FISICA,2,2,,,,
CURSO DE ENFERMAGEM,8,4,4,,,
CURSO DE FARMACIA,18,6,1,11,,
CURSO DE FISIOTERAPIA,13,9,3,1,,
CURSO DE LICENCIATURA EM EDUCAÇÃO FISICA,1,,1,,,
CURSO SUPERIOR DE TECNOLOGIA EM AQUICULTURA,4,3,1,,,
CURSO DE MEDICINA VETERINARIA,1,1,,,,
