campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;151;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;180;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;283;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;147;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;96;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;209;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;227;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;26;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;17;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;31;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;109;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;195;
Campus Bagé;Graduação;Engenharia de Energias Renováveis e Ambiente;Bacharelado;Integral;162;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;239;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;254;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;86;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;42;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;23;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;29;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;81;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;103;
Campus Bagé;Graduação;Matemática;Licenciatura Plena;Noturno;158;
Campus Bagé;Graduação;Música;Licenciatura Plena;Integral;65;
Campus Bagé;Graduação;Química;Licenciatura Plena;Integral;99;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Ciências;Mestrado;Integral;36;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Línguas;Mestrado;Integral;30;
Campus Caçapava do Sul;Graduação;Ciências Exatas;Licenciatura Plena;Integral;96;
Campus Caçapava do Sul;Graduação;Engenharia Ambiental e Sanitária;Bacharelado;Integral;116;
Campus Caçapava do Sul;Graduação;Geofísica;Bacharelado;Integral;88;
Campus Caçapava do Sul;Graduação;Geologia;Bacharelado;Integral;198;
Campus Caçapava do Sul;Graduação;Mineração;Tecnológico;Noturno;100;
Campus Caçapava do Sul;Pós-Graduação;Especialização em Educação Científica e Tecnológica;Especialização;Integral;2;
Campus Caçapava do Sul;Pós-Graduação;ESPECIALIZAÇÃO EM GEOFÍSICA E GEOLOGIA APLICADAS À RECURSOS NATURAIS E MEIO AMBIENTE;Especialização;Integral;26;
Campus Caçapava do Sul;Pós-Graduação;Mestrado em Tecnologia Mineral;Mestrado;Integral;17;
Campus Dom Pedrito;Graduação;Agronegócio;Tecnológico;Noturno;152;
Campus Dom Pedrito;Graduação;Ciências da Natureza;Licenciatura Plena;Noturno;132;
Campus Dom Pedrito;Graduação;Educação no Campo;Licenciatura Plena;Integral;109;
Campus Dom Pedrito;Graduação;Enologia;Bacharelado;Integral;100;
Campus Dom Pedrito;Graduação;Zootecnia;Bacharelado;Integral;201;
Campus Dom Pedrito;Pós-Graduação;Especialização em Produção Animal;Especialização;Integral;38;
Campus Itaqui;Graduação;Agronomia;Bacharelado;Integral;264;
Campus Itaqui;Graduação;Ciência e Tecnologia de Alimentos;Bacharelado;Integral;99;
Campus Itaqui;Graduação;Engenharia de Agrimensura;Bacharelado;Integral;96;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Integral;90;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Noturno;142;
Campus Itaqui;Graduação;Matemática;Licenciatura Plena;Noturno;91;
Campus Itaqui;Graduação;Nutrição;Bacharelado;Integral;191;
Campus Itaqui;Pós-Graduação;Especialização em Produção Vegetal;Especialização;Integral;12;
Campus Jaguarão;Graduação;Gestão de Turismo;Tecnológico;Noturno;100;
Campus Jaguarão;Graduação;História;Licenciatura Plena;Noturno;95;
Campus Jaguarão;Graduação;Letras Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;70;
Campus Jaguarão;Graduação;Letras Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;117;
Campus Jaguarão;Graduação;Pedagogia;Licenciatura Plena;Noturno;166;
Campus Jaguarão;Graduação;Produção e Política Cultural;Bacharelado;Integral;73;
Campus Jaguarão;Pós-Graduação;Especialização em  Gestão da Educação  Básica: Articulações Entre o Político e o  Pedagógico;Especialização;Integral;29;
Campus Jaguarão;Pós-Graduação;Especialização em Cidades,Culturas e Fronteira;Especialização;Integral;21;
Campus Jaguarão;Pós-Graduação;Especialização em Direitos Humanos e Cidadania;Especialização;Integral;27;
Campus Jaguarão;Pós-Graduação;Especialização em Educação Ambiental;Especialização;Integral;17;
Campus Jaguarão;Pós-Graduação;Especialização em Educação Ambiental;Especialização;Matutino;37;
Campus Jaguarão;Pós-Graduação;Especialização em Educação e Gestão do Patrimônio Cultural;Especialização;Matutino;17;
Campus Jaguarão;Pós-Graduação;Especialização em Metodologia do Ensino de Línguas e Literatura;Especialização;Noturno;1;
Campus Jaguarão;Pós-Graduação;Especialização em Metodologia no Ensino de Línguas e Literatura;Especialização;Integral;13;
Campus Jaguarão;Pós-Graduação;Especialização em Psicopedagogia Clínica e Institucional;Especialização;Integral;38;
Campus Jaguarão;Pós-Graduação;Especialização em Psicopedagogia Institucional;Especialização;Integral;27;
Campus Jaguarão;Pós-Graduação;ESPECIALIZAÇÃO EM TECNOLOGIAS DIGITAIS E EDUCAÇÃO;Especialização;Integral;22;
Campus Jaguarão;Pós-Graduação;Mestrado em Educação;Mestrado;Integral;75;
Campus Santana do Livramento;Graduação;Administração;Bacharelado;Matutino;180;
Campus Santana do Livramento;Graduação;Administração;Bacharelado;Noturno;239;
Campus Santana do Livramento;Graduação;Ciências Econômicas;Bacharelado;Noturno;176;
Campus Santana do Livramento;Graduação;Direito;Bacharelado;Integral;53;
Campus Santana do Livramento;Graduação;Gestão Pública;Tecnológico;Noturno;136;
Campus Santana do Livramento;Graduação;Relações Internacionais;Bacharelado;Integral;166;
Campus Santana do Livramento;Pós-Graduação;Especialização em Desenvolvimento em Regiões de Fronteira;Especialização;Integral;7;
Campus Santana do Livramento;Pós-Graduação;Especialização em Gestão Estratégica de Pequenas e Médias  Empresas;Especialização;Integral;24;
Campus Santana do Livramento;Pós-Graduação;Especialização em Gestão Pública;Especialização;Integral;30;
Campus São Borja;Graduação;Ciências Humanas;Licenciatura Plena;Noturno;176;
Campus São Borja;Graduação;Ciências Sociais - Ciência Política;Bacharelado;Noturno;141;
