campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;166;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;204;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;292;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;166;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;123;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;244;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;234;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;42;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;27;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;31;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;143;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;217;
Campus Bagé;Graduação;Engenharia de Energia;Bacharelado;Integral;195;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;278;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;285;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;115;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;15;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;7;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;10;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;137;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;172;
Campus Bagé;Graduação;Matemática;Licenciatura Plena;Noturno;163;
Campus Bagé;Graduação;Música;Licenciatura Plena;Integral;82;
Campus Bagé;Graduação;Química;Licenciatura Plena;Integral;135;
Campus Bagé;Pós-Graduação;Especialização em Educação e Diversidade Cultural;Especialização;Integral;25;
Campus Bagé;Pós-Graduação;Especialização em Modelagem Computacional em Ensino, Experimentação e Simulação;Especialização;Noturno;23;
Campus Bagé;Pós-Graduação;Mestrado em Computação Aplicada;Mestrado;Integral;13;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Ciências;Mestrado;Integral;44;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Línguas;Mestrado;Integral;45;
Campus Caçapava do Sul;Graduação;Ciências Exatas;Licenciatura Plena;Integral;101;
Campus Caçapava do Sul;Graduação;Engenharia Ambiental e Sanitária;Bacharelado;Integral;136;
Campus Caçapava do Sul;Graduação;Geofísica;Bacharelado;Integral;59;
Campus Caçapava do Sul;Graduação;Geologia;Bacharelado;Integral;224;
Campus Caçapava do Sul;Graduação;Mineração;Tecnológico;Noturno;110;
Campus Caçapava do Sul;Pós-Graduação;Especialização em Geofísica e Geologia Aplicadas a Recursos Naturais e Meio Ambiente;Especialização;Integral;26;
Campus Caçapava do Sul;Pós-Graduação;Mestrado em Tecnologia Mineral;Mestrado;Integral;27;
Campus Dom Pedrito;Graduação;Agronegócio;Tecnológico;Noturno;215;
Campus Dom Pedrito;Graduação;Ciências da Natureza;Licenciatura Plena;Noturno;181;
Campus Dom Pedrito;Graduação;Educação no Campo;Licenciatura Plena;Integral;125;
Campus Dom Pedrito;Graduação;Enologia;Bacharelado;Integral;152;
Campus Dom Pedrito;Graduação;Zootecnia;Bacharelado;Integral;225;
Campus Dom Pedrito;Pós-Graduação;Especialização em Agronegócio;Especialização;Integral;31;
Campus Dom Pedrito;Pós-Graduação;Especialização em Educação do Campo e Ciências da Natureza;Especialização;Integral;20;
Campus Dom Pedrito;Pós-Graduação;Especialização em Ensino de Ciências na Educação do Campo;Especialização;Noturno;18;
Campus Dom Pedrito;Pós-Graduação;Especialização em Gestão e Inovação do Agronegócio;Especialização;Integral;21;
Campus Dom Pedrito;Pós-Graduação;Especialização em Produção Animal;Especialização;Integral;10;
Campus Itaqui;Graduação;Agronomia;Bacharelado;Integral;305;
Campus Itaqui;Graduação;Ciência e Tecnologia de Alimentos;Bacharelado;Integral;143;
Campus Itaqui;Graduação;Engenharia de Agrimensura;Bacharelado;Integral;160;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Integral;176;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Noturno;219;
Campus Itaqui;Graduação;Matemática;Licenciatura Plena;Noturno;149;
Campus Itaqui;Graduação;Nutrição;Bacharelado;Integral;220;
Campus Itaqui;Pós-Graduação;Especialização em Ciências Exatas e Tecnologia;Especialização;Noturno;24;
Campus Jaguarão;Graduação;Gestão de Turismo;Tecnológico;Noturno;128;
Campus Jaguarão;Graduação;História;Licenciatura Plena;Noturno;114;
Campus Jaguarão;Graduação;Letras Português;Licenciatura Plena;Integral;110;
Campus Jaguarão;Graduação;Letras Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;39;
Campus Jaguarão;Graduação;Letras Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;153;
Campus Jaguarão;Graduação;Letras, com habilitação em Língua Portuguesa e respectivas Literaturas;Licenciatura Plena;Noturno;249;
Campus Jaguarão;Graduação;Pedagogia;Licenciatura Plena;Noturno;178;
Campus Jaguarão;Graduação;Produção e Política Cultural;Bacharelado;Integral;73;
Campus Jaguarão;Pós-Graduação;Especialização em Gestão Estratégica em Turismo;Especialização;Noturno;29;
Campus Jaguarão;Pós-Graduação;Especialização em Direitos Humanos e Cidadania;Especialização;Integral;15;
Campus Jaguarão;Pós-Graduação;Especialização em Educação Ambiental;Especialização;Integral;7;
Campus Jaguarão;Pós-Graduação;Especialização em Educação e Gestão do Patrimônio Cultural;Especialização;Matutino;4;
Campus Jaguarão;Pós-Graduação;Especialização em Tecnologias Digitais e Educação;Especialização;Integral;14;
Campus Jaguarão;Pós-Graduação;Mestrado em Educação;Mestrado;Integral;41;
Campus Santana do Livramento;Graduação;Administração;Bacharelado;Matutino;202;
Campus Santana do Livramento;Graduação;Administração;Bacharelado;Noturno;274;
Campus Santana do Livramento;Graduação;Ciências Econômicas;Bacharelado;Noturno;213;
Campus Santana do Livramento;Graduação;Direito;Bacharelado;Integral;148;
Campus Santana do Livramento;Graduação;Gestão Pública;Tecnológico;Noturno;179;
Campus Santana do Livramento;Graduação;Relações Internacionais;Bacharelado;Integral;195;
Campus Santana do Livramento;Pós - UAB;Especialização em Gestão Pública Municipal;Especialização;Integral;354;
Campus Santana do Livramento;Pós-Graduação;Especialização em Gestão Pública;Especialização;Integral;25;
Campus Santana do Livramento;Pós-Graduação;Mestrado em Administração;Mestrado;Integral;22;
Campus São Borja;Graduação;Ciências Humanas;Licenciatura Plena;Noturno;212;
Campus São Borja;Graduação;Ciências Sociais - Ciência Política;Bacharelado;Noturno;174;
Campus São Borja;Graduação;Comunicação Social - Jornalismo;Bacharelado;Integral;152;
Campus São Borja;Graduação;Comunicação Social - Publicidade e Propaganda;Bacharelado;Integral;173;
Campus São Borja;Graduação;Comunicação Social - Relações Públicas;Bacharelado;Noturno;188;
Campus São Borja;Graduação;Serviço Social;Bacharelado;Integral;198;
Campus São Borja;Pós-Graduação;Mestrado em Comunicação e Indústria Criativa;Mestrado;Noturno;10;
Campus São Borja;Pós-Graduação;Especialização em Políticas e Intervenção em Violência Intrafamiliar;Especialização;Integral;29;
Campus São Borja;Pós-Graduação;Mestrado em Políticas Públicas;Mestrado;Integral;29;
Campus São Gabriel;Graduação;Biotecnologia;Bacharelado;Integral;106;
