campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;179;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;193;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;307;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;180;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;134;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;256;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;256;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;19;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;20;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;29;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;150;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;236;
Campus Bagé;Graduação;Engenharia de Energia;Bacharelado;Integral;193;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;278;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;279;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;111;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;15;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;7;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;10;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;134;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;169;
Campus Bagé;Graduação;Matemática;Licenciatura Plena;Noturno;157;
Campus Bagé;Graduação;Música;Licenciatura Plena;Integral;80;
Campus Bagé;Graduação;Química;Licenciatura Plena;Integral;126;
Campus Bagé;Pós-Graduação;Especialização em Educação e Diversidade Cultural;Especialização;Integral;30;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Ciências;Mestrado;Integral;46;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Línguas;Mestrado;Integral;49;
Campus Caçapava do Sul;Graduação;Ciências Exatas;Licenciatura Plena;Integral;98;
Campus Caçapava do Sul;Graduação;Engenharia Ambiental e Sanitária;Bacharelado;Integral;114;
Campus Caçapava do Sul;Graduação;Geofísica;Bacharelado;Integral;60;
Campus Caçapava do Sul;Graduação;Geologia;Bacharelado;Integral;208;
Campus Caçapava do Sul;Graduação;Mineração;Tecnológico;Noturno;97;
Campus Caçapava do Sul;Pós-Graduação;Especialização em Geofísica e Geologia Aplicadas a Recursos Naturais e Meio Ambiente;Especialização;Integral;26;
Campus Caçapava do Sul;Pós-Graduação;Mestrado em Tecnologia Mineral;Mestrado;Integral;30;
Campus Dom Pedrito;Graduação;Agronegócio;Tecnológico;Noturno;175;
Campus Dom Pedrito;Graduação;Ciências da Natureza;Licenciatura Plena;Noturno;181;
Campus Dom Pedrito;Graduação;Educação no Campo;Licenciatura Plena;Integral;134;
Campus Dom Pedrito;Graduação;Enologia;Bacharelado;Integral;133;
Campus Dom Pedrito;Graduação;Zootecnia;Bacharelado;Integral;224;
Campus Dom Pedrito;Pós-Graduação;Especialização em Agronegócio;Especialização;Integral;31;
Campus Dom Pedrito;Pós-Graduação;Especialização em Educação do Campo e Ciências da Natureza;Especialização;Integral;20;
Campus Dom Pedrito;Pós-Graduação;Especialização em Produção Animal;Especialização;Integral;10;
Campus Itaqui;Graduação;Agronomia;Bacharelado;Integral;302;
Campus Itaqui;Graduação;Ciência e Tecnologia de Alimentos;Bacharelado;Integral;130;
Campus Itaqui;Graduação;Engenharia de Agrimensura;Bacharelado;Integral;145;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Integral;149;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Noturno;215;
Campus Itaqui;Graduação;Matemática;Licenciatura Plena;Noturno;147;
Campus Itaqui;Graduação;Nutrição;Bacharelado;Integral;217;
Campus Itaqui;Pós-Graduação;Especialização em Produção Vegetal;Especialização;Integral;7;
Campus Jaguarão;Graduação;Gestão de Turismo;Tecnológico;Noturno;120;
Campus Jaguarão;Graduação;História;Licenciatura Plena;Noturno;115;
Campus Jaguarão;Graduação;Letras Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;44;
Campus Jaguarão;Graduação;Letras Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;154;
Campus Jaguarão;Graduação;Pedagogia;Licenciatura Plena;Noturno;177;
Campus Jaguarão;Graduação;Produção e Política Cultural;Bacharelado;Integral;79;
Campus Jaguarão;Pós-Graduação;Especialização em Direitos Humanos e Cidadania;Especialização;Integral;16;
Campus Jaguarão;Pós-Graduação;Especialização em Educação Ambiental;Especialização;Integral;5;
Campus Jaguarão;Pós-Graduação;Especialização em Educação e Gestão do Patrimônio Cultural;Especialização;Matutino;4;
Campus Jaguarão;Pós-Graduação;Especialização em Psicopedagogia Institucional;Especialização;Integral;15;
Campus Jaguarão;Pós-Graduação;Especialização em Tecnologias Digitais e Educação;Especialização;Integral;14;
Campus Jaguarão;Pós-Graduação;Mestrado em Educação;Mestrado;Integral;44;
Campus Santana do Livramento;Graduação;Administração;Bacharelado;Matutino;200;
Campus Santana do Livramento;Graduação;Administração;Bacharelado;Noturno;266;
Campus Santana do Livramento;Graduação;Ciências Econômicas;Bacharelado;Noturno;208;
Campus Santana do Livramento;Graduação;Direito;Bacharelado;Integral;136;
Campus Santana do Livramento;Graduação;Gestão Pública;Tecnológico;Noturno;172;
Campus Santana do Livramento;Graduação;Relações Internacionais;Bacharelado;Integral;194;
Campus Santana do Livramento;Pós-Graduação;Especialização em Desenvolvimento em Regiões de Fronteira;Especialização;Integral;7;
Campus Santana do Livramento;Pós-Graduação;Especialização em Gestão Pública;Especialização;Integral;25;
Campus Santana do Livramento;Pós-Graduação;Mestrado em Administração;Mestrado;Integral;9;
Campus São Borja;Graduação;Ciências Humanas;Licenciatura Plena;Noturno;207;
Campus São Borja;Graduação;Ciências Sociais - Ciência Política;Bacharelado;Noturno;162;
Campus São Borja;Graduação;Comunicação Social - Jornalismo;Bacharelado;Integral;149;
Campus São Borja;Graduação;Comunicação Social - Publicidade e Propaganda;Bacharelado;Integral;169;
Campus São Borja;Graduação;Comunicação Social - Relações Públicas;Bacharelado;Noturno;175;
Campus São Borja;Graduação;Serviço Social;Bacharelado;Integral;189;
Campus São Borja;Pós-Graduação;Especialização em Atividades Criativas e Culturais;Especialização;Integral;15;
Campus São Borja;Pós-Graduação;Especialização em Políticas e Intervenção em Violência Intrafamiliar;Especialização;Integral;32;
Campus São Borja;Pós-Graduação;Mestrado em Políticas Públicas;Mestrado;Integral;15;
Campus São Gabriel;Graduação;Biotecnologia;Bacharelado;Integral;97;
Campus São Gabriel;Graduação;Ciências Biológicas;Bacharelado;Integral;123;
Campus São Gabriel;Graduação;Ciências Biológicas;Licenciatura Plena;Integral;93;
Campus São Gabriel;Graduação;Engenharia Florestal;Bacharelado;Integral;155;
Campus São Gabriel;Graduação;Gestão Ambiental;Bacharelado;Noturno;180;
Campus São Gabriel;Pós-Graduação;Doutorado em Ciências Biológicas;Doutorado;Integral;9;
Campus São Gabriel;Pós-Graduação;Especialização em Gestão Pública e Meio Ambiente;Especialização;Integral;19;
Campus São Gabriel;Pós-Graduação;Mestrado em Ciências Biológicas;Mestrado;Integral;27;
Campus Uruguaiana;Graduação;Aquicultura;Tecnológico;Vespertino;90;
Campus Uruguaiana;Graduação;Bacharelado em Medicina;Bacharelado;Integral;52;
Campus Uruguaiana;Graduação;Ciências da Natureza;Licenciatura Plena;Noturno;165;
Campus Uruguaiana;Graduação;Enfermagem;Bacharelado;Integral;217;
Campus Uruguaiana;Graduação;Farmácia;Bacharelado;Integral;209;
Campus Uruguaiana;Graduação;Fisioterapia;Bacharelado;Integral;253;
Campus Uruguaiana;Graduação;Licenciatura em Educação Física;Licenciatura Plena;Noturno;179;
Campus Uruguaiana;Graduação;Medicina Veterinária;Bacharelado;Integral;377;
Campus Uruguaiana;Pós-Graduação;Doutorado em Bioquímica;Doutorado;Matutino;37;
Campus Uruguaiana;Pós-Graduação;Especialização em Educação em Ciências;Especialização;Matutino;26;
Campus Uruguaiana;Pós-Graduação;Especialização em Neurociência Aplicada à Educação;Especialização;Integral;26;
Campus Uruguaiana;Pós-Graduação;Mestrado em Bioquímica;Mestrado;Integral;38;
Campus Uruguaiana;Pós-Graduação;Mestrado em Ciência Animal;Mestrado;Integral;24;
Campus Uruguaiana;Pós-Graduação;Mestrado em Ciências Farmacêuticas;Mestrado;Integral;22;
Campus Uruguaiana;Pós-Graduação;Programa de Residência Médica;Especialização;Integral;43;
Universidade Federal do Pampa;Extensão;A ESCOLA E A CIDADE: POLÍTICAS PÚBLICAS E EDUCACIONAIS;Aperfeiçoamento;Matutino;2;
Universidade Federal do Pampa;Extensão;DOCÊNCIA NA ESCOLA DE TEMPO INTEGRAL;Aperfeiçoamento;Matutino;5;
Universidade Federal do Pampa;Extensão;ED DO CAMP REFAZENDO CAMINHOS NA REGIÃO DO PAMPA - SÃO BORJA;Aperfeiçoamento;Matutino;32;
Universidade Federal do Pampa;Extensão;EDUCAÇÃO DO CAMPO: REFAZENDO CAMINHOS DA REGIÃO DO PAMPA;Aperfeiçoamento;Matutino;48;
Universidade Federal do Pampa;Extensão;O ENSINO DE LÍNGUA BRASILEIRA DE SINAIS NA PERSPECTIVA DA EDUCAÇÃO BILINGUE;Aperfeiçoamento;Matutino;3;
Universidade Federal do Pampa;Graduação;ALUNO EM REGIME ESPECIAL DE GRADUACAO;Específica referente à profissão;Integral;39;
Universidade Federal do Pampa;Pós-Graduação;CAPES FULBRIGHT;Aperfeiçoamento;Integral;4;
Universidade Federal do Pampa;Pós-Graduação;PROGRAMA NACIONAL DE PÓS-GRADUAÇÃO;Específica referente à profissão;Integral;7;
Universidade Federal do Pampa;Pós-Graduação;REGIME ESPECIAL DE PÓS-GRADUAÇÃO;Específica referente à profissão;Integral;114;
