campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;145;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;178;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;272;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;141;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;110;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;226;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;224;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;19;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;21;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;33;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;112;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;196;
Campus Bagé;Graduação;Engenharia de Energia;Bacharelado;Integral;146;
Campus Bagé;Graduação;Engenharia de Energias Renováveis e Ambiente;Bacharelado;Integral;24;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;226;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;266;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;89;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;21;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;14;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;14;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;98;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;123;
Campus Bagé;Graduação;Matemática;Licenciatura Plena;Noturno;123;
Campus Bagé;Graduação;Música;Licenciatura Plena;Integral;66;
Campus Bagé;Graduação;Química;Licenciatura Plena;Integral;112;
Campus Bagé;Pós-Graduação;Especialização em Educação e Diversidade Cultural;Especialização;Integral;30;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Ciências;Mestrado;Integral;38;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Línguas;Mestrado;Integral;36;
Campus Caçapava do Sul;Graduação;Ciências Exatas;Licenciatura Plena;Integral;93;
Campus Caçapava do Sul;Graduação;Engenharia Ambiental e Sanitária;Bacharelado;Integral;122;
Campus Caçapava do Sul;Graduação;Geofísica;Bacharelado;Integral;70;
Campus Caçapava do Sul;Graduação;Geologia;Bacharelado;Integral;208;
Campus Caçapava do Sul;Graduação;Mineração;Tecnológico;Noturno;88;
Campus Caçapava do Sul;Pós-Graduação;Especialização em Geofísica e Geologia Aplicadas à Recursos Naturais e Meio Ambiente;Especialização;Integral;26;
Campus Caçapava do Sul;Pós-Graduação;Mestrado em Tecnologia Mineral;Mestrado;Integral;25;
Campus Dom Pedrito;Graduação;Agronegócio;Tecnológico;Noturno;146;
Campus Dom Pedrito;Graduação;Ciências da Natureza;Licenciatura Plena;Noturno;139;
Campus Dom Pedrito;Graduação;Educação no Campo;Licenciatura Plena;Integral;105;
Campus Dom Pedrito;Graduação;Enologia;Bacharelado;Integral;105;
Campus Dom Pedrito;Graduação;Zootecnia;Bacharelado;Integral;197;
Campus Dom Pedrito;Pós-Graduação;Especialização em Agronegócio;Especialização;Integral;33;
Campus Dom Pedrito;Pós-Graduação;Especialização em Educação do Campo e Ciências da Natureza;Especialização;Integral;28;
Campus Dom Pedrito;Pós-Graduação;Especialização em Produção Animal;Especialização;Integral;30;
Campus Itaqui;Graduação;Agronomia;Bacharelado;Integral;275;
Campus Itaqui;Graduação;Ciência e Tecnologia de Alimentos;Bacharelado;Integral;107;
Campus Itaqui;Graduação;Engenharia de Agrimensura;Bacharelado;Integral;122;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Integral;124;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Noturno;158;
Campus Itaqui;Graduação;Matemática;Licenciatura Plena;Noturno;115;
Campus Itaqui;Graduação;Nutrição;Bacharelado;Integral;196;
Campus Itaqui;Pós-Graduação;Especialização em Produção Vegetal;Especialização;Integral;12;
Campus Jaguarão;Graduação;Gestão de Turismo;Tecnológico;Noturno;144;
