campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;182;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;228;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;309;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;182;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;138;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;259;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;252;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;47;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;27;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;35;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;151;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;235;
Campus Bagé;Graduação;Engenharia de Energia;Bacharelado;Integral;196;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;279;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;286;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;117;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;15;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;7;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;10;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;138;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;172;
Campus Bagé;Graduação;Matemática;Licenciatura Plena;Noturno;163;
Campus Bagé;Graduação;Música;Licenciatura Plena;Integral;82;
Campus Bagé;Graduação;Química;Licenciatura Plena;Integral;136;
Campus Bagé;Pós-Graduação;Especialização em Educação e Diversidade Cultural;Especialização;Integral;25;
Campus Bagé;Pós-Graduação;Especialização em Modelagem Computacional em Ensino, Experimentação e Simulação;Especialização;Noturno;23;
Campus Bagé;Pós-Graduação;Mestrado em Computação Aplicada;Mestrado;Integral;13;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Ciências;Mestrado;Integral;46;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Línguas;Mestrado;Integral;49;
Campus Caçapava do Sul;Graduação;Ciências Exatas;Licenciatura Plena;Integral;111;
Campus Caçapava do Sul;Graduação;Engenharia Ambiental e Sanitária;Bacharelado;Integral;141;
Campus Caçapava do Sul;Graduação;Geofísica;Bacharelado;Integral;65;
Campus Caçapava do Sul;Graduação;Geologia;Bacharelado;Integral;231;
Campus Caçapava do Sul;Graduação;Mineração;Tecnológico;Noturno;124;
Campus Caçapava do Sul;Pós-Graduação;Especialização em Geofísica e Geologia Aplicadas a Recursos Naturais e Meio Ambiente;Especialização;Integral;26;
Campus Caçapava do Sul;Pós-Graduação;Mestrado em Tecnologia Mineral;Mestrado;Integral;27;
Campus Dom Pedrito;Graduação;Agronegócio;Tecnológico;Noturno;215;
Campus Dom Pedrito;Graduação;Ciências da Natureza;Licenciatura Plena;Noturno;181;
Campus Dom Pedrito;Graduação;Educação no Campo;Licenciatura Plena;Integral;125;
Campus Dom Pedrito;Graduação;Enologia;Bacharelado;Integral;153;
Campus Dom Pedrito;Graduação;Zootecnia;Bacharelado;Integral;227;
Campus Dom Pedrito;Pós-Graduação;Especialização em Agronegócio;Especialização;Integral;31;
Campus Dom Pedrito;Pós-Graduação;Especialização em Educação do Campo e Ciências da Natureza;Especialização;Integral;20;
Campus Dom Pedrito;Pós-Graduação;Especialização em Ensino de Ciências na Educação do Campo;Especialização;Noturno;18;
Campus Dom Pedrito;Pós-Graduação;Especialização em Gestão e Inovação do Agronegócio;Especialização;Integral;20;
Campus Dom Pedrito;Pós-Graduação;Especialização em Produção Animal;Especialização;Integral;10;
Campus Itaqui;Graduação;Agronomia;Bacharelado;Integral;306;
