campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;172;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;201;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;305;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;170;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;121;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;240;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;251;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;19;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;23;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;36;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;134;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;221;
Campus Bagé;Graduação;Engenharia de Energia;Bacharelado;Integral;149;
Campus Bagé;Graduação;Engenharia de Energias Renováveis e Ambiente;Bacharelado;Integral;36;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;268;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;278;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;113;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;28;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;15;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;17;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;120;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;135;
Campus Bagé;Graduação;Matemática;Licenciatura Plena;Noturno;167;
Campus Bagé;Graduação;Música;Licenciatura Plena;Integral;69;
Campus Bagé;Graduação;Química;Licenciatura Plena;Integral;132;
Campus Bagé;Pós-Graduação;Especialização em Educação e Diversidade Cultural;Especialização;Integral;30;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Ciências;Mestrado;Integral;43;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Línguas;Mestrado;Integral;44;
Campus Caçapava do Sul;Graduação;Ciências Exatas;Licenciatura Plena;Integral;113;
Campus Caçapava do Sul;Graduação;Engenharia Ambiental e Sanitária;Bacharelado;Integral;147;
Campus Caçapava do Sul;Graduação;Geofísica;Bacharelado;Integral;83;
Campus Caçapava do Sul;Graduação;Geologia;Bacharelado;Integral;224;
Campus Caçapava do Sul;Graduação;Mineração;Tecnológico;Noturno;122;
Campus Caçapava do Sul;Pós-Graduação;ESPECIALIZAÇÃO EM GEOFÍSICA E GEOLOGIA APLICADAS À RECURSOS NATURAIS E MEIO AMBIENTE;Especialização;Integral;26;
