campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;168;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;196;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;303;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;170;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;117;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;234;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;247;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;19;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;18;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;37;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;133;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;226;
Campus Bagé;Graduação;Engenharia de Energia;Bacharelado;Integral;158;
Campus Bagé;Graduação;Engenharia de Energias Renováveis e Ambiente;Bacharelado;Integral;29;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;269;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;286;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;111;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;29;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;15;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;17;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;118;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;140;
Campus Bagé;Graduação;Matemática;Licenciatura Plena;Noturno;170;
Campus Bagé;Graduação;Música;Licenciatura Plena;Integral;71;
Campus Bagé;Graduação;Química;Licenciatura Plena;Integral;132;
Campus Bagé;Pós-Graduação;Especialização em Educação e Diversidade Cultural;Especialização;Integral;30;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Ciências;Mestrado;Integral;38;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Línguas;Mestrado;Integral;36;
Campus Caçapava do Sul;Graduação;Ciências Exatas;Licenciatura Plena;Integral;112;
Campus Caçapava do Sul;Graduação;Engenharia Ambiental e Sanitária;Bacharelado;Integral;144;
Campus Caçapava do Sul;Graduação;Geofísica;Bacharelado;Integral;82;
Campus Caçapava do Sul;Graduação;Geologia;Bacharelado;Integral;220;
Campus Caçapava do Sul;Graduação;Mineração;Tecnológico;Noturno;120;
Campus Caçapava do Sul;Pós-Graduação;ESPECIALIZAÇÃO EM GEOFÍSICA E GEOLOGIA APLICADAS À RECURSOS NATURAIS E MEIO AMBIENTE;Especialização;Integral;26;
Campus Caçapava do Sul;Pós-Graduação;Mestrado em Tecnologia Mineral;Mestrado;Integral;26;
Campus Dom Pedrito;Graduação;Agronegócio;Tecnológico;Noturno;185;
Campus Dom Pedrito;Graduação;Ciências da Natureza;Licenciatura Plena;Noturno;168;
Campus Dom Pedrito;Graduação;Educação no Campo;Licenciatura Plena;Integral;115;
Campus Dom Pedrito;Graduação;Enologia;Bacharelado;Integral;141;
Campus Dom Pedrito;Graduação;Zootecnia;Bacharelado;Integral;214;
Campus Dom Pedrito;Pós-Graduação;Especialização em Produção Animal;Especialização;Integral;30;
Campus Dom Pedrito;Pós-Graduação;ESPECIALIZAÇÃO EM AGRONEGÓCIO;Especialização;Integral;33;
Campus Dom Pedrito;Pós-Graduação;ESPECIALIZAÇÃO EM EDUCAÇÃO DO CAMPO E CIÊNCIAS DA NATUREZA;Especialização;Integral;28;
Campus Itaqui;Graduação;Agronomia;Bacharelado;Integral;288;
Campus Itaqui;Graduação;Ciência e Tecnologia de Alimentos;Bacharelado;Integral;121;
