campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;161;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;204;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;289;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;164;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;119;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;242;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;232;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;29;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;33;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;44;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;144;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;217;
Campus Bagé;Graduação;Engenharia de Energia;Bacharelado;Integral;186;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;252;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;271;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;98;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;11;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;7;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;9;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;122;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;167;
Campus Bagé;Graduação;Matemática;Licenciatura Plena;Noturno;141;
Campus Bagé;Graduação;Música;Licenciatura Plena;Integral;76;
Campus Bagé;Graduação;Química;Licenciatura Plena;Integral;124;
Campus Bagé;Pós-Graduação;Especialização em Educação e Diversidade Cultural;Especialização;Integral;25;
Campus Bagé;Pós-Graduação;Especialização em Modelagem Computacional em Ensino, Experimentação e Simulação;Especialização;Noturno;23;
Campus Bagé;Pós-Graduação;Mestrado em Computação Aplicada;Mestrado;Integral;13;
Campus Bagé;Pós-Graduação;Mestrado em Ensino;Mestrado;Integral;25;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Ciências;Mestrado;Integral;41;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Línguas;Mestrado;Integral;35;
Campus Caçapava do Sul;Graduação;Ciências Exatas;Licenciatura Plena;Integral;94;
Campus Caçapava do Sul;Graduação;Engenharia Ambiental e Sanitária;Bacharelado;Integral;124;
Campus Caçapava do Sul;Graduação;Geofísica;Bacharelado;Integral;56;
Campus Caçapava do Sul;Graduação;Geologia;Bacharelado;Integral;219;
Campus Caçapava do Sul;Graduação;Mineração;Tecnológico;Noturno;108;
Campus Caçapava do Sul;Pós-Graduação;Especialização em Geofísica e Geologia Aplicadas a Recursos Naturais e Meio Ambiente;Especialização;Integral;26;
Campus Caçapava do Sul;Pós-Graduação;Mestrado em Tecnologia Mineral;Mestrado;Integral;24;
Campus Dom Pedrito;Graduação;Agronegócio;Tecnológico;Noturno;202;
Campus Dom Pedrito;Graduação;Ciências da Natureza;Licenciatura Plena;Noturno;163;
Campus Dom Pedrito;Graduação;Educação no Campo;Licenciatura Plena;Integral;155;
Campus Dom Pedrito;Graduação;Enologia;Bacharelado;Integral;140;
Campus Dom Pedrito;Graduação;Zootecnia;Bacharelado;Integral;213;
Campus Dom Pedrito;Pós-Graduação;Especialização em Agronegócio;Especialização;Integral;31;
Campus Dom Pedrito;Pós-Graduação;Especialização em Educação do Campo e Ciências da Natureza;Especialização;Integral;20;
Campus Dom Pedrito;Pós-Graduação;Especialização em Ensino de Ciências na Educação do Campo;Especialização;Noturno;18;
Campus Dom Pedrito;Pós-Graduação;Especialização em Gestão e Inovação do Agronegócio;Especialização;Integral;21;
Campus Dom Pedrito;Pós-Graduação;Especialização em Produção Animal;Especialização;Integral;10;
Campus Itaqui;Graduação;Agronomia;Bacharelado;Integral;283;
Campus Itaqui;Graduação;Ciência e Tecnologia de Alimentos;Bacharelado;Integral;123;
Campus Itaqui;Graduação;Engenharia de Agrimensura;Bacharelado;Integral;146;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Integral;164;
Campus Itaqui;Graduação;Interdisciplinar em Ciência e Tecnologia;Bacharelado;Noturno;198;
Campus Itaqui;Graduação;Matemática;Licenciatura Plena;Noturno;127;
Campus Itaqui;Graduação;Nutrição;Bacharelado;Integral;212;
Campus Itaqui;Pós-Graduação;Especialização em Ciências Exatas e Tecnologia;Especialização;Noturno;24;
Campus Jaguarão;Graduação;Gestão de Turismo;Tecnológico;Noturno;104;
Campus Jaguarão;Graduação;História;Licenciatura Plena;Noturno;104;
Campus Jaguarão;Graduação;Letras Português;Licenciatura Plena;Integral;108;
Campus Jaguarão;Graduação;Letras Português;Licenciatura Plena;Noturno;246;
Campus Jaguarão;Graduação;Letras Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;35;
Campus Jaguarão;Graduação;Letras Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;138;
Campus Jaguarão;Graduação;Pedagogia;Licenciatura Plena;Noturno;157;
Campus Jaguarão;Graduação;Produção e Política Cultural;Bacharelado;Integral;67;
Campus Jaguarão;Pós-Graduação;Especialização em Gestão Estratégica em Turismo;Especialização;Noturno;26;
Campus Jaguarão;Pós-Graduação;Especialização em Direitos Humanos e Cidadania;Especialização;Integral;15;
Campus Jaguarão;Pós-Graduação;Especialização em Educação Ambiental;Especialização;Integral;1;
Campus Jaguarão;Pós-Graduação;Especialização em Educação e Gestão do Patrimônio Cultural;Especialização;Matutino;4;
Campus Jaguarão;Pós-Graduação;Especialização em Tecnologias Digitais e Educação;Especialização;Integral;3;
Campus Jaguarão;Pós-Graduação;Mestrado em Educação;Mestrado;Integral;40;
Campus Santana do Livramento;Graduação;Administração;Bacharelado;Matutino;189;
Campus Santana do Livramento;Graduação;Administração;Bacharelado;Noturno;268;
Campus Santana do Livramento;Graduação;Ciências Econômicas;Bacharelado;Noturno;189;
Campus Santana do Livramento;Graduação;Direito;Bacharelado;Integral;144;
Campus Santana do Livramento;Graduação;Gestão Pública;Tecnológico;Noturno;166;
Campus Santana do Livramento;Graduação;Relações Internacionais;Bacharelado;Integral;186;
Campus Santana do Livramento;Pós - UAB;Especialização em Gestão Pública Municipal;Especialização;Integral;343;
Campus Santana do Livramento;Pós-Graduação;Especialização em Gestão Pública;Especialização;Integral;24;
Campus Santana do Livramento;Pós-Graduação;Mestrado em Administração;Mestrado;Integral;22;
Campus São Borja;Graduação;Ciências Humanas;Licenciatura Plena;Noturno;192;
Campus São Borja;Graduação;Ciências Sociais - Ciência Política;Bacharelado;Noturno;155;
Campus São Borja;Graduação;Comunicação Social - Jornalismo;Bacharelado;Integral;136;
Campus São Borja;Graduação;Comunicação Social - Publicidade e Propaganda;Bacharelado;Integral;155;
Campus São Borja;Graduação;Comunicação Social - Relações Públicas;Bacharelado;Noturno;178;
Campus São Borja;Graduação;Serviço Social;Bacharelado;Integral;173;
Campus São Borja;Pós-Graduação;Mestrado em Comunicação e Indústria Criativa;Mestrado;Noturno;10;
Campus São Borja;Pós-Graduação;Especialização em Políticas e Intervenção em Violência Intrafamiliar;Especialização;Integral;29;
Campus São Borja;Pós-Graduação;Mestrado em Políticas Públicas;Mestrado;Integral;29;
Campus São Gabriel;Graduação;Biotecnologia;Bacharelado;Integral;91;
Campus São Gabriel;Graduação;Ciências Biológicas;Bacharelado;Integral;118;
Campus São Gabriel;Graduação;Ciências Biológicas;Licenciatura Plena;Integral;91;
Campus São Gabriel;Graduação;Engenharia Florestal;Bacharelado;Integral;152;
Campus São Gabriel;Graduação;Gestão Ambiental;Bacharelado;Noturno;157;
Campus São Gabriel;Pós-Graduação;Doutorado em Ciências Biológicas;Doutorado;Integral;14;
Campus São Gabriel;Pós-Graduação;Mestrado em Ciências Biológicas;Mestrado;Integral;18;
Campus Uruguaiana;Graduação;Aquicultura;Tecnológico;Vespertino;119;
Campus Uruguaiana;Graduação;Bacharelado em Medicina;Bacharelado;Integral;90;
Campus Uruguaiana;Graduação;Ciências da Natureza;Licenciatura Plena;Noturno;185;
Campus Uruguaiana;Graduação;Enfermagem;Bacharelado;Integral;252;
Campus Uruguaiana;Graduação;Farmácia;Bacharelado;Integral;234;
Campus Uruguaiana;Graduação;Fisioterapia;Bacharelado;Integral;285;
Campus Uruguaiana;Graduação;Licenciatura em Educação Física;Licenciatura Plena;Noturno;200;
Campus Uruguaiana;Graduação;Medicina Veterinária;Bacharelado;Integral;428;
Campus Uruguaiana;Pós-Graduação;Doutorado em Bioquímica;Doutorado;Matutino;36;
Campus Uruguaiana;Pós-Graduação;Doutorado em Ciências Fisiológicas;Doutorado;Integral;4;
Campus Uruguaiana;Pós-Graduação;Especialização em  História e  Cultura  Africana, Afro-brasileira e Indígena;Especialização;Integral;14;
Campus Uruguaiana;Pós-Graduação;Especialização em Atividade Física e Saúde;Especialização;Noturno;49;
Campus Uruguaiana;Pós-Graduação;Especialização em Educação Ambiental;Especialização;Noturno;27;
Campus Uruguaiana;Pós-Graduação;Especialização em Neurociência Aplicada à Educação;Especialização;Integral;26;
Campus Uruguaiana;Pós-Graduação;Mestrado em Bioquímica;Mestrado;Integral;38;
