campus;nível;nome do curso;modalidade;turno;alunos matriculados;
Campus Alegrete;Graduação;Ciência da Computação;Bacharelado;Noturno;137;
Campus Alegrete;Graduação;Engenharia Agrícola;Bacharelado;Integral;174;
Campus Alegrete;Graduação;Engenharia Civil;Bacharelado;Integral;262;
Campus Alegrete;Graduação;Engenharia de Software;Bacharelado;Noturno;134;
Campus Alegrete;Graduação;Engenharia de Telecomunicações;Bacharelado;Integral;105;
Campus Alegrete;Graduação;Engenharia Elétrica;Bacharelado;Integral;216;
Campus Alegrete;Graduação;Engenharia Mecânica;Bacharelado;Integral;217;
Campus Alegrete;Pós-Graduação;ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA;Especialização;Integral;19;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharia Elétrica;Mestrado;Integral;20;
Campus Alegrete;Pós-Graduação;Mestrado em Engenharias;Mestrado;Integral;30;
Campus Bagé;Graduação;Engenharia de Alimentos;Bacharelado;Integral;114;
Campus Bagé;Graduação;Engenharia de Computação;Bacharelado;Noturno;189;
Campus Bagé;Graduação;Engenharia de Energia;Bacharelado;Integral;149;
Campus Bagé;Graduação;Engenharia de Energias Renováveis e Ambiente;Bacharelado;Integral;15;
Campus Bagé;Graduação;Engenharia de Produção;Bacharelado;Noturno;233;
Campus Bagé;Graduação;Engenharia Química;Bacharelado;Integral;253;
Campus Bagé;Graduação;Física;Licenciatura Plena;Integral;85;
Campus Bagé;Graduação;Letras - Habilitação Português e Literaturas de Língua Portuguesa;Licenciatura Plena;Noturno;15;
Campus Bagé;Graduação;Letras - Habilitação Português/Espanhol e Respectivas Literaturas;Licenciatura Plena;Noturno;7;
Campus Bagé;Graduação;Letras - Habilitação Português/Inglês e Respectivas Literaturas;Licenciatura Plena;Noturno;10;
Campus Bagé;Graduação;Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas;Licenciatura Plena;Integral;98;
Campus Bagé;Graduação;Letras - Português e Literaturas da Língua Portuguesa;Licenciatura Plena;Noturno;124;
Campus Bagé;Graduação;Matemática;Licenciatura Plena;Noturno;117;
Campus Bagé;Graduação;Música;Licenciatura Plena;Integral;57;
Campus Bagé;Graduação;Química;Licenciatura Plena;Integral;103;
Campus Bagé;Pós-Graduação;Especialização em Educação e Diversidade Cultural;Especialização;Integral;30;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Ciências;Mestrado;Integral;29;
Campus Bagé;Pós-Graduação;Mestrado Profissional em Ensino de Línguas;Mestrado;Integral;49;
Campus Caçapava do Sul;Graduação;Ciências Exatas;Licenciatura Plena;Integral;88;
Campus Caçapava do Sul;Graduação;Engenharia Ambiental e Sanitária;Bacharelado;Integral;107;
Campus Caçapava do Sul;Graduação;Geofísica;Bacharelado;Integral;54;
